method,bench,instance,seed,n_evals,best_score,anytime_mean_best_so_far,file
cats,lcbench,3945,0,1000,1.4071629047393799,5.505899641990662,cats_lcbench_inst3945_seed0.csv
catsplus,lcbench,3945,0,1000,1.3025776147842407,4.607384913444519,catsplus_lcbench_inst3945_seed0.csv
random,lcbench,3945,0,1000,2.7681660652160645,7.048002501010894,random_lcbench_inst3945_seed0.csv
tpe,lcbench,3945,0,1000,1.5005924701690674,3.3960042480230332,tpe_lcbench_inst3945_seed0.csv
cats,lcbench,3945,1,1000,1.5842607021331787,4.492632658839225,cats_lcbench_inst3945_seed1.csv
catsplus,lcbench,3945,1,1000,1.7725142240524292,3.937230409026146,catsplus_lcbench_inst3945_seed1.csv
random,lcbench,3945,1,1000,4.10267448425293,5.626023412227631,random_lcbench_inst3945_seed1.csv
tpe,lcbench,3945,1,1000,3.5239691734313965,4.206664296865463,tpe_lcbench_inst3945_seed1.csv
cats,lcbench,3945,2,1000,2.1922497749328613,6.708612234354019,cats_lcbench_inst3945_seed2.csv
catsplus,lcbench,3945,2,1000,1.4043740034103394,2.8293123412132264,catsplus_lcbench_inst3945_seed2.csv
random,lcbench,3945,2,1000,2.674736738204956,4.384455261468887,random_lcbench_inst3945_seed2.csv
tpe,lcbench,3945,2,1000,3.505841016769409,4.526583867549896,tpe_lcbench_inst3945_seed2.csv
cats,lcbench,7593,0,1000,5.707710266113281,8.201271942138671,cats_lcbench_inst7593_seed0.csv
catsplus,lcbench,7593,0,1000,5.336781024932861,8.08797238445282,catsplus_lcbench_inst7593_seed0.csv
random,lcbench,7593,0,1000,8.578925132751465,12.09370063495636,random_lcbench_inst7593_seed0.csv
tpe,lcbench,7593,0,1000,2.793266534805298,8.666430916309357,tpe_lcbench_inst7593_seed0.csv
cats,lcbench,7593,1,1000,6.386817455291748,12.5278438911438,cats_lcbench_inst7593_seed1.csv
catsplus,lcbench,7593,1,1000,2.7556159496307373,15.010225138425827,catsplus_lcbench_inst7593_seed1.csv
random,lcbench,7593,1,1000,6.1664910316467285,14.062723872661591,random_lcbench_inst7593_seed1.csv
tpe,lcbench,7593,1,1000,3.0024373531341553,6.003209671497345,tpe_lcbench_inst7593_seed1.csv
cats,lcbench,7593,2,200,3.5169968605041504,65.3705325961113,cats_lcbench_inst7593_seed2.csv
catsplus,lcbench,7593,2,1000,4.700902462005615,11.149851866722107,catsplus_lcbench_inst7593_seed2.csv
random,lcbench,7593,2,1000,7.76037073135376,12.756539922714234,random_lcbench_inst7593_seed2.csv
tpe,lcbench,7593,2,1000,2.1866719722747803,4.132471605300903,tpe_lcbench_inst7593_seed2.csv
cats,lcbench,34539,0,1000,0.7754677534103394,1.6980104311704636,cats_lcbench_inst34539_seed0.csv
catsplus,lcbench,34539,0,1000,1.030655860900879,2.818132920622826,catsplus_lcbench_inst34539_seed0.csv
random,lcbench,34539,0,1000,1.7306801080703735,4.223782815217972,random_lcbench_inst34539_seed0.csv
tpe,lcbench,34539,0,1000,1.2635324001312256,2.5479248888492583,tpe_lcbench_inst34539_seed0.csv
cats,lcbench,34539,1,1000,0.9065479636192322,2.38953543394804,cats_lcbench_inst34539_seed1.csv
catsplus,lcbench,34539,1,1000,1.0836457014083862,2.1790204815864564,catsplus_lcbench_inst34539_seed1.csv
random,lcbench,34539,1,1000,2.5269227027893066,4.175143671989441,random_lcbench_inst34539_seed1.csv
tpe,lcbench,34539,1,1000,0.5872142314910889,1.5117147406935691,tpe_lcbench_inst34539_seed1.csv
cats,lcbench,34539,2,1000,0.801962673664093,3.0755130305290224,cats_lcbench_inst34539_seed2.csv
catsplus,lcbench,34539,2,1000,0.7810456156730652,2.267248614013195,catsplus_lcbench_inst34539_seed2.csv
random,lcbench,34539,2,1000,1.6874514818191528,2.2977499109506607,random_lcbench_inst34539_seed2.csv
tpe,lcbench,34539,2,1000,0.6415985822677612,1.4471019314527511,tpe_lcbench_inst34539_seed2.csv
cats,lcbench,146212,0,200,5.113665580749512,12.944287452697754,cats_lcbench_inst146212_seed0.csv
catsplus,lcbench,146212,0,1000,3.2743589878082275,5.272918425559998,catsplus_lcbench_inst146212_seed0.csv
random,lcbench,146212,0,1000,5.202911853790283,6.597132863044739,random_lcbench_inst146212_seed0.csv
tpe,lcbench,146212,0,1000,2.496244430541992,4.93853970170021,tpe_lcbench_inst146212_seed0.csv
cats,lcbench,146212,1,1000,1.9398506879806519,8.174781077504157,cats_lcbench_inst146212_seed1.csv
catsplus,lcbench,146212,1,1000,2.4558048248291016,4.798512547016144,catsplus_lcbench_inst146212_seed1.csv
random,lcbench,146212,1,1000,8.001614570617676,8.925866817474365,random_lcbench_inst146212_seed1.csv
tpe,lcbench,146212,1,1000,3.2896981239318848,4.616449070453644,tpe_lcbench_inst146212_seed1.csv
cats,lcbench,146212,2,1000,3.802863359451294,7.526091617107391,cats_lcbench_inst146212_seed2.csv
catsplus,lcbench,146212,2,1000,3.543491840362549,5.896360998153686,catsplus_lcbench_inst146212_seed2.csv
random,lcbench,146212,2,1000,7.38944149017334,9.67894178199768,random_lcbench_inst146212_seed2.csv
tpe,lcbench,146212,2,1000,3.1516456604003906,4.984621462106705,tpe_lcbench_inst146212_seed2.csv
cats,lcbench,168329,0,1000,1.356961965560913,3.347079324364662,cats_lcbench_inst168329_seed0.csv
catsplus,lcbench,168329,0,1000,1.6330671310424805,4.588234864830971,catsplus_lcbench_inst168329_seed0.csv
random,lcbench,168329,0,1000,2.5631790161132812,4.14690570640564,random_lcbench_inst168329_seed0.csv
tpe,lcbench,168329,0,1000,1.0655176639556885,2.2246057369709016,tpe_lcbench_inst168329_seed0.csv
cats,lcbench,168329,1,1000,1.7474137544631958,4.774293256163597,cats_lcbench_inst168329_seed1.csv
catsplus,lcbench,168329,1,1000,1.1701029539108276,2.9505475804805754,catsplus_lcbench_inst168329_seed1.csv
random,lcbench,168329,1,1000,2.607802152633667,3.4744488451480864,random_lcbench_inst168329_seed1.csv
tpe,lcbench,168329,1,1000,1.1017738580703735,1.841654825925827,tpe_lcbench_inst168329_seed1.csv
cats,lcbench,168329,2,1000,1.4001905918121338,3.598206670045853,cats_lcbench_inst168329_seed2.csv
catsplus,lcbench,168329,2,1000,1.0794622898101807,4.618073558092117,catsplus_lcbench_inst168329_seed2.csv
random,lcbench,168329,2,1000,1.3053665161132812,3.3108690235614775,random_lcbench_inst168329_seed2.csv
tpe,lcbench,168329,2,1000,0.8926032781600952,1.4391534433364868,tpe_lcbench_inst168329_seed2.csv
